11.02.2022		220001		10:0711.02.2022		220001		10:07	10:07	0h0min	0h
11.02.2022		220001		10:0711.02.2022		220001		10:07	10:07	0h0min	0h
11.02.2022		220001		10:0711.02.2022		220001		10:07	10:07	0h0min	0h
11.02.2022		220001		10:0711.02.2022		220001		10:07	10:07	0h0min	0h
11.02.2022		220001		10:0711.02.2022		220001		10:07	10:07	0h0min	0h
11.02.2022		220001		10:3411.02.2022		220001		10:34	10:35	0h1min	0h
11.02.2022		220001		10:3511.02.2022		220001		10:35	10:35	0h0min	0h
11.02.2022		220001		10:3511.02.2022		220001		10:35	10:35	0h0min	0h
11.02.2022		220001		10:3511.02.2022		220001		10:35	10:35	0h0min	0h
11.02.2022		220001		10:3511.02.2022		220001		10:35	10:35	0h0min	0h
